t_s,stage,q_rad,dq_rad_s,tau_Nm,q_ref_rad,dq_ref_rad_s,dq_filt_rad_s
1.075645,to_zero,2.906325102,-0.171806246,-0.003906250,2.899062494,0.000000000,-0.07789375084
1.080630,to_zero,2.906325102,-0.196349993,-0.011718750,2.898010066,0.000000000,-0.07899847105
1.085647,to_zero,2.906325102,0.049087498,-0.011718750,2.896890020,0.000000000,-0.05166061835
1.090636,to_zero,2.906325102,0.122718751,-0.011718750,2.895702407,0.000000000,-0.04874115918
1.095707,to_zero,2.906133413,-0.245437503,-0.019531250,2.894447284,0.000000000,-0.08737856197
1.100634,to_zero,2.906133413,0.000000000,-0.023437500,2.893124708,0.000000000,-0.08770710535
1.105710,to_zero,2.906133413,0.000000000,-0.027343750,2.891734743,0.000000000,-0.109293283
1.110634,to_zero,2.905941725,-0.196349993,-0.027343750,2.890277453,0.000000000,-0.1573689525
1.115633,to_zero,2.905749798,-0.147262499,-0.027343750,2.888752906,0.000000000,-0.195996759
1.120635,to_zero,2.905366421,-0.368156254,-0.027343750,2.887161174,0.000000000,-0.2464363233
1.125632,to_zero,2.905366421,-0.098174997,-0.035156250,2.885502330,0.000000000,-0.2673745403
1.130628,to_zero,2.904791117,-0.539962471,-0.039062500,2.883776454,0.000000000,-0.3293217725
1.135626,to_zero,2.904599428,-0.539962471,-0.042968750,2.881983625,0.000000000,-0.3402158669
1.140637,to_zero,2.904215813,-0.441787511,-0.042968750,2.880123927,0.000000000,-0.3026972329
1.145629,to_zero,2.904215813,0.147262499,-0.050781250,2.878197448,0.000000000,-0.231467188
1.150631,to_zero,2.903640747,-0.098174997,-0.054687500,2.876204277,0.000000000,-0.2520301302
1.155633,to_zero,2.902873755,-0.417243749,-0.054687500,2.874144509,0.000000000,-0.3098830519
1.160628,to_zero,2.902298450,-0.343612492,-0.054687500,2.872018239,0.000000000,-0.341714884
1.165712,to_zero,2.901723146,-0.417243749,-0.054687500,2.869825566,0.000000000,-0.3730867915
1.170695,to_zero,2.900956154,-0.220893756,-0.066406250,2.867566595,0.000000000,-0.3937563455
1.175641,to_zero,2.899997473,-0.466331244,-0.058593750,2.865241429,0.000000000,-0.4563227298
1.180635,to_zero,2.898655176,-0.711768746,-0.066406250,2.862850178,0.000000000,-0.5164633433
1.185631,to_zero,2.897312880,-0.564506233,-0.066406250,2.860392955,0.000000000,-0.5292676456
1.190633,to_zero,2.895395517,-0.515418768,-0.066406250,2.857869874,0.000000000,-0.5335311461
1.195632,to_zero,2.892902851,-0.490875006,-0.066406250,2.855281052,0.000000000,-0.5421845567
1.200628,to_zero,2.889834881,-0.515418768,-0.058593750,2.852626612,0.000000000,-0.5632739002
1.205671,to_zero,2.885616302,-0.834487498,-0.066406250,2.849906678,0.000000000,-0.5959619264
1.210635,to_zero,2.882548332,-0.515418768,-0.058593750,2.847121376,0.000000000,-0.5708383381
1.216637,to_zero,2.880247355,-0.122718751,-0.066406250,2.844270837,0.000000000,-0.5591468309
1.220613,to_zero,2.878138065,-0.785399973,-0.066406250,2.841355195,0.000000000,-0.6532327118
1.225634,to_zero,2.876412392,-0.785399973,-0.066406250,2.838374587,0.000000000,-0.7152851184
1.230607,to_zero,2.874111414,-0.785399973,-0.066406250,2.835329150,0.000000000,-0.7603437371
1.235607,to_zero,2.871235371,-0.589049995,-0.066406250,2.832219029,0.000000000,-0.799329458
1.240608,to_zero,2.866825104,-1.079924941,-0.054687500,2.829044369,0.000000000,-0.8892807638
1.245610,to_zero,2.862031460,-0.932662487,-0.050781250,2.825805318,0.000000000,-0.9330255029
1.250608,to_zero,2.856854200,-1.448081255,-0.050781250,2.822502028,0.000000000,-0.9768582266
1.255613,to_zero,2.853019238,-0.859031260,-0.050781250,2.819134654,0.000000000,-0.9064802853
1.260608,to_zero,2.849759579,-0.515418768,-0.050781250,2.815703352,0.000000000,-0.8476025985
1.265616,to_zero,2.846116304,-0.957206249,-0.054687500,2.812208285,0.000000000,-0.8692365459
1.270733,to_zero,2.841706038,-0.883575022,-0.042968750,2.808649614,0.000000000,-0.8695492131
1.275690,to_zero,2.836912394,-0.736312509,-0.042968750,2.805027508,0.000000000,-0.8664624349
1.280690,to_zero,2.831926823,-1.104468703,-0.042968750,2.801342135,0.000000000,-0.894920188
1.285697,to_zero,2.828667164,-0.589049995,-0.042968750,2.797593668,0.000000000,-0.8725895165
1.290730,to_zero,2.825599194,-0.908118725,-0.050781250,2.793782282,0.000000000,-0.9189805231
1.295682,to_zero,2.822722912,-1.079924941,-0.050781250,2.789908157,0.000000000,-0.9680041116
1.301746,to_zero,2.819271564,-0.957206249,-0.050781250,2.785971472,0.000000000,-0.989901368
